Unique Identifier,Host Name,Physical/Virtual,Data Center Location,Platform,Service Description,Primary Function,Customer Contact One,Number of Processors (Physical/Virtual),Cores Per Processor (Virtual = 1),Total Cores,Physical/Allocated Memory (GB),Primary IP Address,VLAN,Backup IP Address,VLAN,Domain Name (Windows Only),Product,Version,Edition,Service Pack / Hotfix Level
LAT0000078,NEWDBS012P,Physical,Newport,Windows,SQL Subscriber (XML),Database (XL),LateRooms,2,TBC,#VALUE!,128,172.31.146.14,106 DATABASES,TBC,501,tlrg.org,Windows Server,2008 R2,Enterprise,Servce Pack 1
LAT0000079,NEWDBS014P,Physical,Newport,Windows,SQL Subscriber (KA XML),Database (XL),LateRooms,2,TBC,#VALUE!,128,172.31.146.16,106 DATABASES,TBC,501,tlrg.org,Windows Server,2008 R2,Enterprise,Servce Pack 1
LAT0000080,NEWDBS016P,Physical,Newport,Windows,SQL Subscriber (Quarantine),Database (L),LateRooms,2,TBC,#VALUE!,128,172.31.146.18,106 DATABASES,TBC,501,tlrg.org,Windows Server,2008 R2,Enterprise,Servce Pack 1
LAT0000081,NEWDBS018P,Physical,Newport,Windows,SQL Subscriber (BI),Database (L),LateRooms,2,TBC,#VALUE!,128,172.31.146.20,106 DATABASES,TBC,501,tlrg.org,Windows Server,2008 R2,Enterprise,Servce Pack 1
LAT0000082,TELAPP001P,Physical,Telford,Windows,WCF Connectivity/Providers,Application Tier,LateRooms,2,TBC,#VALUE!,16,172.31.164.134,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000083,TELAPP002P,Physical,Telford,Windows,WCF Connectivity/Providers,Application Tier,LateRooms,2,TBC,#VALUE!,16,172.31.164.135,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000084,TELAPP003P,Physical,Telford,Windows,WCF Connectivity/Providers,Application Tier,LateRooms,2,TBC,#VALUE!,16,172.31.164.136,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000085,TELAPP004P,Physical,Telford,Windows,WCF Connectivity/Providers,Application Tier,Ollie,2,TBC,#VALUE!,16,172.31.164.137,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000086,TELAPP005P,Physical,Telford,Windows,WCF Connectivity/Providers,Application Tier,Ollie,2,TBC,#VALUE!,16,172.31.164.138,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000087,TELAPP006P,Physical,Telford,Windows,WCF Connectivity/Providers,Application Tier,Ollie,2,TBC,#VALUE!,16,172.31.164.139,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000088,TELAPP007P,Physical,Telford,Windows,WCF Connectivity/Providers,Application Tier,Ollie,2,TBC,#VALUE!,16,172.31.164.140,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000089,TELAPP008P,Physical,Telford,Windows,WCF Connectivity/Providers,Application Tier,Ollie,2,TBC,#VALUE!,16,172.31.164.141,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000090,TELAPP100P,Physical,Telford,Windows,AR.COM & MySQL,Application Tier,Steve Elliot,2,TBC,#VALUE!,16,172.31.164.94,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000091,TELAPP101P,Physical,Telford,Windows,AR.COM,Application Tier,Steve Elliot,2,TBC,#VALUE!,16,172.31.164.95,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000092,TELAPP102P,Physical,Telford,Windows,AR.COM,Application Tier,Steve Elliot,2,TBC,#VALUE!,16,172.31.164.96,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000093,TELAPP103P,Physical,Telford,Windows,AR.COM,Application Tier,Steve Elliot,2,TBC,#VALUE!,16,172.31.164.97,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000094,TELAPP104P,Physical,Telford,Windows,AR.COM,Application Tier,Steve Elliot,2,TBC,#VALUE!,16,172.31.164.98,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000095,TELAPP105P,Physical,Telford,Windows,AR.COM,Application Tier,Steve Elliot,2,TBC,#VALUE!,16,172.31.164.99,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000096,TELAPP106P,Physical,Telford,Windows,AR.COM,Application Tier,Steve Elliot,2,TBC,#VALUE!,16,172.31.164.100,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000097,TELAPP107P,Physical,Telford,Windows,AR.COM,Application Tier,Steve Elliot,2,TBC,#VALUE!,16,172.31.164.101,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000098,TELAPP200P,Physical,Telford,Windows,New Search Analytics,Application Tier,LateRooms,2,TBC,#VALUE!,16,172.31.164.102,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000100,TELAPP205P,Physical,Telford,Windows,XMLBooking Wrapper,Application Tier,LateRooms,2,TBC,#VALUE!,16,172.31.164.107,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000101,TELAPP206P,Physical,Telford,Windows,XMLBooking Wrapper,Application Tier,LateRooms,2,TBC,#VALUE!,16,172.31.164.108,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000102,TELAPP210P,Physical,Telford,Windows,Front End Search Service,Application Tier,LateRooms,2,TBC,#VALUE!,16,172.31.164.112,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000103,TELAPP211P,Physical,Telford,Windows,Front End Search Service,Application Tier,LateRooms,2,TBC,#VALUE!,16,172.31.164.113,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000104,TELAPP212P,Physical,Telford,Windows,Front End Search Service,Application Tier,LateRooms,2,TBC,#VALUE!,16,172.31.164.114,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000105,TELAPP213P,Physical,Telford,Windows,Front End Search Service,Application Tier,LateRooms,2,TBC,#VALUE!,16,172.31.164.115,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000106,TELAPP214P,Physical,Telford,Windows,Search & Rates - Services - Push Pull,Application Tier,LateRooms,2,TBC,#VALUE!,16,172.31.164.116,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000107,TELAPP215P,Physical,Telford,Windows,Search & Rates - Services - Push Pull,Application Tier,LateRooms,2,TBC,#VALUE!,16,172.31.164.117,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000108,TELAPP216P,Physical,Telford,Windows,Search & Rates - Services - Rates,Application Tier,LateRooms,2,TBC,#VALUE!,16,172.31.164.118,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000109,TELAPP217P,Physical,Telford,Windows,Search & Rates - Services - Rates,Application Tier,LateRooms,2,TBC,#VALUE!,16,172.31.164.119,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000110,TELAPP218P,Physical,Telford,Windows,Search and Rates - Raven,Application Tier,LateRooms,2,TBC,#VALUE!,16,172.31.164.120,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000111,TELAPP219P,Physical,Telford,Windows,Search and Rates - Raven,Application Tier,LateRooms,2,TBC,#VALUE!,16,172.31.164.121,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000112,TELAPP220P,Physical,Telford,Windows,Search and Rates - CBS,Application Tier,LateRooms,2,TBC,#VALUE!,16,172.31.164.122,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000113,TELAPP221P,Physical,Telford,Windows,Search and Rates - CBS,Application Tier,LateRooms,2,TBC,#VALUE!,16,172.31.164.123,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000114,TELAPP222P,Virtual,Telford,Windows,Search and Rates Cluster Node 1,Application Tier,LateRooms,2,1,2,8,172.31.164.233,103 FE_WEB,TBC,N/A,tlrg.org,Windows Server,2008 R2,Enterprise,Servce Pack 1
LAT0000115,TELAPP223P,Virtual,Telford,Windows,Search and Rates Cluster Node 2,Application Tier,LateRooms,2,1,2,8,172.31.164.234,103 FE_WEB,TBC,N/A,tlrg.org,Windows Server,2008 R2,Enterprise,Servce Pack 1
LAT0000116,TELAPP225P,Virtual,Telford,Linux,Varnish Cache,Application Tier,LateRooms,4,1,4,16,172.31.164.127,103 FE_WEB,N/A,N/A,Not Applicable,squeeze,6.0.06,TBC,TBC
LAT0000117,TELAPP226P,Virtual,Telford,Linux,Varnish Cache,Application Tier,LateRooms,4,1,4,16,172.31.164.128,103 FE_WEB,N/A,N/A,Not Applicable,squeeze,6.0.06,TBC,TBC
LAT0000118,TELAPP230P,Virtual,Telford,Windows,Hotel Admin Finance,Application Tier,LateRooms,4,1,4,16,172.31.164.132,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000119,TELAPP231P,Virtual,Telford,Windows,Hotel Admin Finance,Application Tier,LateRooms,4,1,4,16,172.31.164.133,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000120,TELAPP300P,Virtual,Telford,Linux,memcacheD - Search + Default,Application Tier,LateRooms,4,1,4,16,172.31.164.144,103 FE_WEB,N/A,N/A,Not Applicable,squeeze,6.0.06,TBC,TBC
LAT0000121,TELAPP301P,Virtual,Telford,Linux,memcacheD - Search + Default,Application Tier,LateRooms,4,1,4,16,172.31.164.145,103 FE_WEB,N/A,N/A,Not Applicable,squeeze,6.0.06,TBC,TBC
LAT0000122,TELAPP302P,Virtual,Telford,Linux,memcacheD - Search + Default,Application Tier,LateRooms,4,1,4,16,172.31.164.146,103 FE_WEB,N/A,N/A,Not Applicable,squeeze,6.0.06,TBC,TBC
LAT0000123,TELAPP303P,Virtual,Telford,Linux,memcacheD - Search + Default,Application Tier,LateRooms,4,1,4,16,172.31.164.147,103 FE_WEB,N/A,N/A,Not Applicable,squeeze,6.0.06,TBC,TBC
LAT0000124,TELAPP304P,Virtual,Telford,Linux,memcacheD - Search + Default,Application Tier,LateRooms,4,1,4,16,172.31.164.148,103 FE_WEB,N/A,N/A,Not Applicable,squeeze,6.0.06,TBC,TBC
LAT0000125,TELAPP305P,Virtual,Telford,Linux,memcacheD - Search + Default,Application Tier,LateRooms,4,1,4,16,172.31.164.149,103 FE_WEB,N/A,N/A,Not Applicable,squeeze,6.0.06,TBC,TBC
LAT0000126,TELAPP306P,Virtual,Telford,Linux,memcacheD - Search + Default,Application Tier,LateRooms,4,1,4,16,172.31.164.150,103 FE_WEB,N/A,N/A,Not Applicable,squeeze,6.0.06,TBC,TBC
LAT0000127,TELAPP307P,Virtual,Telford,Linux,memcacheD - Search + Default,Application Tier,LateRooms,4,1,4,16,172.31.164.151,103 FE_WEB,N/A,N/A,Not Applicable,squeeze,6.0.06,TBC,TBC
LAT0000128,TELAPP310P,Virtual,Telford,Linux,memcacheD - Providers,Application Tier,LateRooms,4,1,4,16,172.31.164.154,103 FE_WEB,N/A,N/A,Not Applicable,squeeze,6.0.06,TBC,TBC
LAT0000129,TELAPP311P,Virtual,Telford,Linux,memcacheD - Providers,Application Tier,LateRooms,4,1,4,16,172.31.164.155,103 FE_WEB,N/A,N/A,Not Applicable,squeeze,6.0.06,TBC,TBC
LAT0000130,TELAPP312P,Virtual,Telford,Linux,memcacheD - Providers,Application Tier,LateRooms,4,1,4,16,172.31.164.156,103 FE_WEB,N/A,N/A,Not Applicable,squeeze,6.0.06,TBC,TBC
LAT0000131,TELAPP313P,Virtual,Telford,Linux,memcacheD - Providers,Application Tier,LateRooms,4,1,4,16,172.31.164.157,103 FE_WEB,N/A,N/A,Not Applicable,squeeze,6.0.06,TBC,TBC
LAT0000132,TELAPP314P,Virtual,Telford,Linux,memcacheD - Providers,Application Tier,LateRooms,4,1,4,16,172.31.164.158,103 FE_WEB,N/A,N/A,Not Applicable,squeeze,6.0.06,TBC,TBC
LAT0000133,TELAPP315P,Virtual,Telford,Linux,memcacheD - Providers,Application Tier,LateRooms,4,1,4,16,172.31.164.159,103 FE_WEB,N/A,N/A,Not Applicable,squeeze,6.0.06,TBC,TBC
LAT0000134,TELAPP320P,Virtual,Telford,Linux,memcacheD - Search & Rates,Application Tier,LateRooms,4,1,4,16,172.31.164.164,103 FE_WEB,N/A,N/A,Not Applicable,squeeze,6.0.06,TBC,TBC
LAT0000135,TELAPP321P,Virtual,Telford,Linux,memcacheD - Search & Rates,Application Tier,LateRooms,4,1,4,16,172.31.164.165,103 FE_WEB,N/A,N/A,Not Applicable,squeeze,6.0.06,TBC,TBC
LAT0000136,TELAPP322P,Virtual,Telford,Linux,memcacheD - Search & Rates,Application Tier,LateRooms,4,1,4,16,172.31.164.166,103 FE_WEB,N/A,N/A,Not Applicable,squeeze,6.0.06,TBC,TBC
LAT0000137,TELAPP323P,Virtual,Telford,Linux,memcacheD - Search & Rates,Application Tier,LateRooms,4,1,4,16,172.31.164.167,103 FE_WEB,N/A,N/A,Not Applicable,squeeze,6.0.06,TBC,TBC
LAT0000138,TELAPP326P,Virtual,Telford,Linux,AR Memcache,Application Tier,Steve Elliot,4,1,4,16,172.31.164.170,103 FE_WEB,N/A,N/A,Not Applicable,squeeze,6.0.06,TBC,TBC
LAT0000139,TELAPP327P,Virtual,Telford,Linux,AR Memcache,Application Tier,Steve Elliot,4,1,4,16,172.31.164.171,103 FE_WEB,N/A,N/A,Not Applicable,squeeze,6.0.06,TBC,TBC
LAT0000140,TELAPP328P,Virtual,Telford,Linux,AR Memcache,Application Tier,Steve Elliot,4,1,4,16,172.31.164.172,103 FE_WEB,N/A,N/A,Not Applicable,squeeze,6.0.06,TBC,TBC
LAT0000141,TELAPP329P,Virtual,Telford,Linux,AR Memcache,Application Tier,Steve Elliot,4,1,4,16,172.31.164.173,103 FE_WEB,N/A,N/A,Not Applicable,squeeze,6.0.06,TBC,TBC
LAT0000142,TELAPP330P,Virtual,Telford,Linux,AR Memcache,Application Tier,Steve Elliot,4,1,4,16,172.31.164.174,103 FE_WEB,N/A,N/A,Not Applicable,squeeze,6.0.06,TBC,TBC
LAT0000143,TELAPP331P,Virtual,Telford,Linux,AR Memcache,Application Tier,Steve Elliot,4,1,4,16,172.31.164.175,103 FE_WEB,N/A,N/A,Not Applicable,squeeze,6.0.06,TBC,TBC
LAT0000144,TELAPP332P,Virtual,Telford,Linux,AR Memcache,Application Tier,Steve Elliot,4,1,4,16,172.31.164.176,103 FE_WEB,N/A,N/A,Not Applicable,squeeze,6.0.06,TBC,TBC
LAT0000145,TELAPP340P,Virtual,Telford,Linux,Varnish Cache,Application Tier,LateRooms,4,1,4,16,172.31.164.208,103 FE_WEB,N/A,N/A,Not Applicable,squeeze,6.0.06,TBC,TBC
LAT0000148,TELAPP343P,Virtual,Telford,Linux,Varnish Cache,Application Tier,LateRooms,4,1,4,16,172.31.164.211,103 FE_WEB,N/A,N/A,Not Applicable,squeeze,6.0.06,TBC,TBC
LAT0000149,TELAPP344P,Virtual,Telford,Linux,Varnish Cache,Application Tier,LateRooms,4,1,4,16,172.31.164.212,103 FE_WEB,N/A,N/A,Not Applicable,squeeze,6.0.06,TBC,TBC
LAT0000150,TELAPP345P,Virtual,Telford,Linux,Varnish Cache,Application Tier,LateRooms,4,1,4,16,172.31.164.213,103 FE_WEB,N/A,N/A,Not Applicable,squeeze,6.0.06,TBC,TBC
LAT0000151,TELAPP406P,Virtual,Telford,Windows,Sage Replacement,Application Tier,LateRooms,4,1,4,32,172.31.141.41,104 SHARED_SVC,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000152,TELAPP407P,Virtual,Telford,Windows,Sage Replacement,Application Tier,LateRooms,4,1,4,32,172.31.141.42,104 SHARED_SVC,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000153,TELAPP410P,Virtual,Telford,Windows,PCI Tokenisation,Application Tier,LateRooms,2,1,2,16,172.31.142.199,109 Tokenisation,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000154,TELAPP411P,Virtual,Telford,Windows,PCI Tokenisation,Application Tier,LateRooms,2,1,2,16,172.31.142.200,109 Tokenisation,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000155,TELAPP412P,Virtual,Telford,Windows,PCI Tokenisation,Application Tier,LateRooms,2,1,2,16,172.31.142.201,109 Tokenisation,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000156,TELAPP426P,Virtual,Telford,Linux,SFTP,Application Tier,LateRooms,4,1,4,16,172.31.164.183,103 FE_WEB,N/A,N/A,Not Applicable,squeeze,6.0.06,TBC,TBC
LAT0000161,TELAPP435P,Virtual,Telford,Windows,"Various (PostCode Lookup, Efficient Frontier, Weather Updater)",Vostok,LateRooms,4,1,4,16,172.31.164.218,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000162,TELAPP436P,Virtual,Telford,Windows,Finance File Repositry,Application Tier,LateRooms,4,1,4,16,172.31.164.219,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000163,TELAPP437P,Virtual,Telford,Windows,Finance File Repositry,Application Tier,LateRooms,4,1,4,16,172.31.164.220,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000164,TELDBM001P,Physical,Telford,Windows,SQL Subscriber (MasterDB),Database (XL),LateRooms,2,TBC,#VALUE!,128,172.31.146.1,106 DATABASES,TBC,501,tlrg.org,Windows Server,2008 R2,Enterprise,Servce Pack 1
LAT0000165,TELDBM008P,Virtual,Telford,Windows,SQL Distributor,Database (L),LateRooms,8,1,8,92,172.31.146.3,106 DATABASES,TBC,501,tlrg.org,Windows Server,2008 R2,Enterprise,Servce Pack 1
LAT0000166,TELDBM022P,Virtual,Telford,Windows,SQL Monitor (Spotlight),Database (M),LateRooms,4,1,4,32,172.31.146.5,106 DATABASES,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000167,TELDBM051P,Virtual,Telford,Windows,Sage Replacement,Database (M),LateRooms,4,1,4,32,172.31.146.51,106 DATABASES,TBC,TBC,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000168,TELDBS010P,Physical,Telford,Windows,SQL Subscriber (Search),Database (XL),LateRooms,2,TBC,#VALUE!,128,172.31.146.11,106 DATABASES,TBC,501,tlrg.org,Windows Server,2008 R2,Enterprise,Servce Pack 1
LAT0000169,TELDBS012P,Physical,Telford,Windows,SQL Subscriber (XML),Database (XL),LateRooms,2,TBC,#VALUE!,128,172.31.146.13,106 DATABASES,TBC,501,tlrg.org,Windows Server,2008 R2,Enterprise,Servce Pack 1
LAT0000170,TELDBS014P,Physical,Telford,Windows,SQL Subscriber (KA XML),Database (XL),LateRooms,2,TBC,#VALUE!,128,172.31.146.15,106 DATABASES,TBC,501,tlrg.org,Windows Server,2008 R2,Enterprise,Servce Pack 1
LAT0000171,TELDBS016P,Physical,Telford,Windows,SQL Subscriber (Quarantine),Database (L),LateRooms,1,TBC,#VALUE!,128,172.31.146.17,106 DATABASES,TBC,501,tlrg.org,Windows Server,2008 R2,Enterprise,Servce Pack 1
LAT0000172,TELDBS018P,Physical,Telford,Windows,SQL Subscriber (BI),Database (L),LateRooms,1,TBC,#VALUE!,128,172.31.146.19,106 DATABASES,TBC,501,tlrg.org,Windows Server,2008 R2,Enterprise,Servce Pack 1
LAT0000173,TELDBY001P,Virtual,Telford,Linux,NOT USED SPARE,Database,LateRooms,4,1,4,8,172.31.146.55,106 DATABASES,TBC,TBC,Not Applicable,squeeze,6.0.06,TBC,TBC
LAT0000175,TELDOM001P,Virtual,Telford,Windows,Domain Controller,Domain Controller,LateRooms,2,1,2,8,172.31.141.10,120 ACTIVE_DIRECTORY,172.31.178.26,500,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000176,TELINF001P,Virtual,Telford,Linux,SMTP IN,Infrastructure,LateRooms,4,1,4,8,172.31.164.184,103 FE_WEB,N/A,N/A,Not Applicable,squeeze,6.0.06,TBC,TBC
LAT0000177,TELINF002P,Virtual,Telford,Linux,SMTP IN,Infrastructure,LateRooms,4,1,4,8,172.31.164.185,103 FE_WEB,N/A,N/A,Not Applicable,squeeze,6.0.06,TBC,TBC
LAT0000179,MAILOUT1,Virtual,Telford,Linux,SMTP OUT,Infrastructure,LateRooms,4,1,4,8,172.31.164.189,103 FE_WEB,N/A,N/A,Not Applicable,squeeze,6.0.06,TBC,TBC
